YEAR,FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2019,2019-04-01,Alabama,131
2019,2019-04-01,Alaska,106
2019,2019-04-01,Arizona,629
2019,2019-04-01,Arkansas,97
2019,2019-04-01,California,2481
2019,2019-04-01,Colorado,871
2019,2019-04-01,Connecticut,93
2019,2019-04-01,Florida,1817
2019,2019-04-01,Georgia,1243
2019,2019-04-01,Hawaii,326
2019,2019-04-01,Idaho,89
2019,2019-04-01,Illinois,1430
2019,2019-04-01,Indiana,219
2019,2019-04-01,Iowa,93
2019,2019-04-01,Kansas,49
2019,2019-04-01,Kentucky,275
2019,2019-04-01,Louisiana,251
2019,2019-04-01,Maine,53
2019,2019-04-01,Maryland,306
2019,2019-04-01,Massachusetts,458
2019,2019-04-01,Michigan,669
2019,2019-04-01,Minnesota,509
2019,2019-04-01,Mississippi,44
2019,2019-04-01,Missouri,438
2019,2019-04-01,Montana,76
2019,2019-04-01,Nebraska,102
2019,2019-04-01,Nevada,549
2019,2019-04-01,New Hampshire,30
2019,2019-04-01,New Jersey,480
2019,2019-04-01,New Mexico,84
2019,2019-04-01,New York,1242
2019,2019-04-01,North Carolina,1057
2019,2019-04-01,North Dakota,64
2019,2019-04-01,Ohio,384
2019,2019-04-01,Oklahoma,134
2019,2019-04-01,Oregon,314
2019,2019-04-01,Pennsylvania,676
2019,2019-04-01,Puerto Rico,78
2019,2019-04-01,Rhode Island,57
2019,2019-04-01,South Carolina,197
2019,2019-04-01,South Dakota,38
2019,2019-04-01,Tennessee,425
2019,2019-04-01,Texas,2269
2019,2019-04-01,U.S. Pacific Trust Territories and Possessions,4
2019,2019-04-01,U.S. Virgin Islands,15
2019,2019-04-01,Utah,376
2019,2019-04-01,Vermont,33
2019,2019-04-01,Virginia,917
2019,2019-04-01,Washington,644
2019,2019-04-01,West Virginia,25
2019,2019-04-01,Wisconsin,221
2019,2019-04-01,Wyoming,24
2019,2019-04-02,Alabama,124
2019,2019-04-02,Alaska,102
2019,2019-04-02,Arizona,614
2019,2019-04-02,Arkansas,94
2019,2019-04-02,California,2397
2019,2019-04-02,Colorado,807
2019,2019-04-02,Connecticut,91
2019,2019-04-02,Florida,1723
2019,2019-04-02,Georgia,1219
2019,2019-04-02,Hawaii,308
2019,2019-04-02,Idaho,84
2019,2019-04-02,Illinois,1403
2019,2019-04-02,Indiana,217
2019,2019-04-02,Iowa,92
2019,2019-04-02,Kansas,48
2019,2019-04-02,Kentucky,261
2019,2019-04-02,Louisiana,242
2019,2019-04-02,Maine,53
2019,2019-04-02,Maryland,301
2019,2019-04-02,Massachusetts,448
2019,2019-04-02,Michigan,654
2019,2019-04-02,Minnesota,492
2019,2019-04-02,Mississippi,44
2019,2019-04-02,Missouri,428
2019,2019-04-02,Montana,75
2019,2019-04-02,Nebraska,96
2019,2019-04-02,Nevada,502
2019,2019-04-02,New Hampshire,29
2019,2019-04-02,New Jersey,475
2019,2019-04-02,New Mexico,78
2019,2019-04-02,New York,1207
2019,2019-04-02,North Carolina,1037
2019,2019-04-02,North Dakota,62
2019,2019-04-02,Ohio,372
2019,2019-04-02,Oklahoma,129
2019,2019-04-02,Oregon,299
2019,2019-04-02,Pennsylvania,681
2019,2019-04-02,Puerto Rico,76
2019,2019-04-02,Rhode Island,58
2019,2019-04-02,South Carolina,190
2019,2019-04-02,South Dakota,37
2019,2019-04-02,Tennessee,403
2019,2019-04-02,Texas,2171
2019,2019-04-02,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-02,U.S. Virgin Islands,15
2019,2019-04-02,Utah,351
2019,2019-04-02,Vermont,32
2019,2019-04-02,Virginia,902
2019,2019-04-02,Washington,626
2019,2019-04-02,West Virginia,24
2019,2019-04-02,Wisconsin,214
2019,2019-04-02,Wyoming,23
2019,2019-04-03,Alabama,128
2019,2019-04-03,Alaska,103
2019,2019-04-03,Arizona,618
2019,2019-04-03,Arkansas,98
2019,2019-04-03,California,2433
2019,2019-04-03,Colorado,831
2019,2019-04-03,Connecticut,92
2019,2019-04-03,Florida,1757
2019,2019-04-03,Georgia,1222
2019,2019-04-03,Hawaii,317
2019,2019-04-03,Idaho,83
2019,2019-04-03,Illinois,1423
2019,2019-04-03,Indiana,218
2019,2019-04-03,Iowa,93
2019,2019-04-03,Kansas,47
2019,2019-04-03,Kentucky,272
2019,2019-04-03,Louisiana,246
2019,2019-04-03,Maine,54
2019,2019-04-03,Maryland,303
2019,2019-04-03,Massachusetts,454
2019,2019-04-03,Michigan,660
2019,2019-04-03,Minnesota,496
2019,2019-04-03,Mississippi,45
2019,2019-04-03,Missouri,431
2019,2019-04-03,Montana,74
2019,2019-04-03,Nebraska,100
2019,2019-04-03,Nevada,523
2019,2019-04-03,New Hampshire,30
2019,2019-04-03,New Jersey,474
2019,2019-04-03,New Mexico,78
2019,2019-04-03,New York,1218
2019,2019-04-03,North Carolina,1062
2019,2019-04-03,North Dakota,67
2019,2019-04-03,Ohio,370
2019,2019-04-03,Oklahoma,129
2019,2019-04-03,Oregon,299
2019,2019-04-03,Pennsylvania,691
2019,2019-04-03,Puerto Rico,75
2019,2019-04-03,Rhode Island,57
2019,2019-04-03,South Carolina,197
2019,2019-04-03,South Dakota,43
2019,2019-04-03,Tennessee,414
2019,2019-04-03,Texas,2200
2019,2019-04-03,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-03,U.S. Virgin Islands,13
2019,2019-04-03,Utah,357
2019,2019-04-03,Vermont,33
2019,2019-04-03,Virginia,908
2019,2019-04-03,Washington,636
2019,2019-04-03,West Virginia,22
2019,2019-04-03,Wisconsin,221
2019,2019-04-03,Wyoming,21
2019,2019-04-04,Alabama,132
2019,2019-04-04,Alaska,105
2019,2019-04-04,Arizona,630
2019,2019-04-04,Arkansas,102
2019,2019-04-04,California,2501
2019,2019-04-04,Colorado,856
2019,2019-04-04,Connecticut,93
2019,2019-04-04,Florida,1793
2019,2019-04-04,Georgia,1239
2019,2019-04-04,Hawaii,324
2019,2019-04-04,Idaho,88
2019,2019-04-04,Illinois,1448
2019,2019-04-04,Indiana,220
2019,2019-04-04,Iowa,94
2019,2019-04-04,Kansas,50
2019,2019-04-04,Kentucky,276
2019,2019-04-04,Louisiana,255
2019,2019-04-04,Maine,51
2019,2019-04-04,Maryland,307
2019,2019-04-04,Massachusetts,465
2019,2019-04-04,Michigan,668
2019,2019-04-04,Minnesota,502
2019,2019-04-04,Mississippi,45
2019,2019-04-04,Missouri,436
2019,2019-04-04,Montana,77
2019,2019-04-04,Nebraska,105
2019,2019-04-04,Nevada,553
2019,2019-04-04,New Hampshire,29
2019,2019-04-04,New Jersey,485
2019,2019-04-04,New Mexico,83
2019,2019-04-04,New York,1241
2019,2019-04-04,North Carolina,1074
2019,2019-04-04,North Dakota,69
2019,2019-04-04,Ohio,383
2019,2019-04-04,Oklahoma,136
2019,2019-04-04,Oregon,312
2019,2019-04-04,Pennsylvania,706
2019,2019-04-04,Puerto Rico,75
2019,2019-04-04,Rhode Island,58
2019,2019-04-04,South Carolina,201
2019,2019-04-04,South Dakota,44
2019,2019-04-04,Tennessee,426
2019,2019-04-04,Texas,2293
2019,2019-04-04,U.S. Pacific Trust Territories and Possessions,6
2019,2019-04-04,U.S. Virgin Islands,15
2019,2019-04-04,Utah,364
2019,2019-04-04,Vermont,34
2019,2019-04-04,Virginia,928
2019,2019-04-04,Washington,646
2019,2019-04-04,West Virginia,25
2019,2019-04-04,Wisconsin,220
2019,2019-04-04,Wyoming,22
2019,2019-04-05,Alabama,131
2019,2019-04-05,Alaska,105
2019,2019-04-05,Arizona,636
2019,2019-04-05,Arkansas,102
2019,2019-04-05,California,2504
2019,2019-04-05,Colorado,856
2019,2019-04-05,Connecticut,93
