FL_DATE,ORIGIN_STATE,FLIGHT_COUNT_2019,FLIGHT_COUNT_2020
2019-04-01,Alabama,131,100
2019-04-01,Alaska,106,59
2019-04-01,Arizona,629,582
2019-04-01,Arkansas,97,76
2019-04-01,California,2481,1848
2019-04-01,Colorado,871,661
2019-04-01,Connecticut,93,72
2019-04-01,Florida,1817,1579
2019-04-01,Georgia,1243,823
2019-04-01,Hawaii,326,161
2019-04-01,Idaho,89,61
2019-04-01,Illinois,1430,1153
2019-04-01,Indiana,219,188
2019-04-01,Iowa,93,80
2019-04-01,Kansas,49,43
2019-04-01,Kentucky,275,206
2019-04-01,Louisiana,251,201
2019-04-01,Maine,53,40
2019-04-01,Maryland,306,281
2019-04-01,Massachusetts,458,335
2019-04-01,Michigan,669,505
2019-04-01,Minnesota,509,386
2019-04-01,Mississippi,44,37
2019-04-01,Missouri,438,357
2019-04-01,Montana,76,59
2019-04-01,Nebraska,102,79
2019-04-01,Nevada,549,447
2019-04-01,New Hampshire,30,29
2019-04-01,New Jersey,480,244
2019-04-01,New Mexico,84,77
2019-04-01,New York,1242,834
2019-04-01,North Carolina,1057,927
2019-04-01,North Dakota,64,43
2019-04-01,Ohio,384,288
2019-04-01,Oklahoma,134,109
2019-04-01,Oregon,314,196
2019-04-01,Pennsylvania,676,590
2019-04-01,Puerto Rico,78,74
2019-04-01,Rhode Island,57,45
2019-04-01,South Carolina,197,162
2019-04-01,South Dakota,38,37
2019-04-01,Tennessee,425,345
2019-04-01,Texas,2269,1901
2019-04-01,U.S. Pacific Trust Territories and Possessions,4,1
2019-04-01,U.S. Virgin Islands,15,12
2019-04-01,Utah,376,288
2019-04-01,Vermont,33,20
2019-04-01,Virginia,917,702
2019-04-01,Washington,644,384
2019-04-01,West Virginia,25,20
2019-04-01,Wisconsin,221,168
2019-04-01,Wyoming,24,16
2019-04-02,Alabama,124,99
2019-04-02,Alaska,102,55
2019-04-02,Arizona,614,594
2019-04-02,Arkansas,94,82
2019-04-02,California,2397,1796
2019-04-02,Colorado,807,677
2019-04-02,Connecticut,91,67
2019-04-02,Florida,1723,1592
2019-04-02,Georgia,1219,719
2019-04-02,Hawaii,308,168
2019-04-02,Idaho,84,57
2019-04-02,Illinois,1403,1143
2019-04-02,Indiana,217,167
2019-04-02,Iowa,92,72
2019-04-02,Kansas,48,42
2019-04-02,Kentucky,261,190
2019-04-02,Louisiana,242,192
2019-04-02,Maine,53,43
2019-04-02,Maryland,301,271
2019-04-02,Massachusetts,448,312
2019-04-02,Michigan,654,432
2019-04-02,Minnesota,492,294
2019-04-02,Mississippi,44,35
2019-04-02,Missouri,428,348
2019-04-02,Montana,75,53
2019-04-02,Nebraska,96,71
2019-04-02,Nevada,502,479
2019-04-02,New Hampshire,29,26
2019-04-02,New Jersey,475,241
2019-04-02,New Mexico,78,77
2019-04-02,New York,1207,750
2019-04-02,North Carolina,1037,927
2019-04-02,North Dakota,62,48
2019-04-02,Ohio,372,274
2019-04-02,Oklahoma,129,104
2019-04-02,Oregon,299,196
2019-04-02,Pennsylvania,681,588
2019-04-02,Puerto Rico,76,67
2019-04-02,Rhode Island,58,43
2019-04-02,South Carolina,190,167
2019-04-02,South Dakota,37,36
2019-04-02,Tennessee,403,343
2019-04-02,Texas,2171,1941
2019-04-02,U.S. Pacific Trust Territories and Possessions,3,4
2019-04-02,U.S. Virgin Islands,15,10
2019-04-02,Utah,351,254
2019-04-02,Vermont,32,20
2019-04-02,Virginia,902,672
2019-04-02,Washington,626,384
2019-04-02,West Virginia,24,20
2019-04-02,Wisconsin,214,158
2019-04-02,Wyoming,23,15
2019-04-03,Alabama,128,100
2019-04-03,Alaska,103,55
2019-04-03,Arizona,618,589
2019-04-03,Arkansas,98,77
2019-04-03,California,2433,1791
2019-04-03,Colorado,831,634
2019-04-03,Connecticut,92,69
2019-04-03,Florida,1757,1546
2019-04-03,Georgia,1222,711
2019-04-03,Hawaii,317,174
2019-04-03,Idaho,83,57
2019-04-03,Illinois,1423,1136
2019-04-03,Indiana,218,165
2019-04-03,Iowa,93,71
2019-04-03,Kansas,47,41
2019-04-03,Kentucky,272,185
2019-04-03,Louisiana,246,195
2019-04-03,Maine,54,43
2019-04-03,Maryland,303,270
2019-04-03,Massachusetts,454,313
2019-04-03,Michigan,660,440
2019-04-03,Minnesota,496,299
2019-04-03,Mississippi,45,35
2019-04-03,Missouri,431,347
2019-04-03,Montana,74,51
2019-04-03,Nebraska,100,72
2019-04-03,Nevada,523,482
2019-04-03,New Hampshire,30,28
2019-04-03,New Jersey,474,237
2019-04-03,New Mexico,78,78
2019-04-03,New York,1218,746
2019-04-03,North Carolina,1062,928
2019-04-03,North Dakota,67,43
2019-04-03,Ohio,370,272
2019-04-03,Oklahoma,129,105
2019-04-03,Oregon,299,196
2019-04-03,Pennsylvania,691,587
2019-04-03,Puerto Rico,75,62
2019-04-03,Rhode Island,57,41
2019-04-03,South Carolina,197,165
2019-04-03,South Dakota,43,34
2019-04-03,Tennessee,414,341
2019-04-03,Texas,2200,1942
2019-04-03,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-03,U.S. Virgin Islands,13,7
2019-04-03,Utah,357,252
2019-04-03,Vermont,33,20
2019-04-03,Virginia,908,668
2019-04-03,Washington,636,384
2019-04-03,West Virginia,22,20
2019-04-03,Wisconsin,221,153
2019-04-03,Wyoming,21,15
2019-04-04,Alabama,132,79
2019-04-04,Alaska,105,41
2019-04-04,Arizona,630,563
2019-04-04,Arkansas,102,52
2019-04-04,California,2501,1403
2019-04-04,Colorado,856,554
2019-04-04,Connecticut,93,63
2019-04-04,Florida,1793,1508
2019-04-04,Georgia,1239,569
2019-04-04,Hawaii,324,202
2019-04-04,Idaho,88,48
2019-04-04,Illinois,1448,946
2019-04-04,Indiana,220,160
2019-04-04,Iowa,94,60
2019-04-04,Kansas,50,31
2019-04-04,Kentucky,276,148
2019-04-04,Louisiana,255,153
2019-04-04,Maine,51,41
2019-04-04,Maryland,307,210
