FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2020-04-01,Alabama,100
2020-04-01,Alaska,59
2020-04-01,Arizona,582
2020-04-01,Arkansas,76
2020-04-01,California,1848
2020-04-01,Colorado,661
2020-04-01,Connecticut,72
2020-04-01,Florida,1579
2020-04-01,Georgia,823
2020-04-01,Hawaii,161
2020-04-01,Idaho,61
2020-04-01,Illinois,1153
2020-04-01,Indiana,188
2020-04-01,Iowa,80
2020-04-01,Kansas,43
2020-04-01,Kentucky,206
2020-04-01,Louisiana,201
2020-04-01,Maine,40
2020-04-01,Maryland,281
2020-04-01,Massachusetts,335
2020-04-01,Michigan,505
2020-04-01,Minnesota,386
2020-04-01,Mississippi,37
2020-04-01,Missouri,357
2020-04-01,Montana,59
2020-04-01,Nebraska,79
2020-04-01,Nevada,447
2020-04-01,New Hampshire,29
2020-04-01,New Jersey,244
2020-04-01,New Mexico,77
2020-04-01,New York,834
2020-04-01,North Carolina,927
2020-04-01,North Dakota,43
2020-04-01,Ohio,288
2020-04-01,Oklahoma,109
2020-04-01,Oregon,196
2020-04-01,Pennsylvania,590
2020-04-01,Puerto Rico,74
2020-04-01,Rhode Island,45
2020-04-01,South Carolina,162
2020-04-01,South Dakota,37
2020-04-01,Tennessee,345
2020-04-01,Texas,1901
2020-04-01,U.S. Pacific Trust Territories and Possessions,1
2020-04-01,U.S. Virgin Islands,12
2020-04-01,Utah,288
2020-04-01,Vermont,20
2020-04-01,Virginia,702
2020-04-01,Washington,384
2020-04-01,West Virginia,20
2020-04-01,Wisconsin,168
2020-04-01,Wyoming,16
2020-04-02,Alabama,99
2020-04-02,Alaska,55
2020-04-02,Arizona,594
2020-04-02,Arkansas,82
2020-04-02,California,1796
2020-04-02,Colorado,677
2020-04-02,Connecticut,67
2020-04-02,Florida,1592
2020-04-02,Georgia,719
2020-04-02,Hawaii,168
2020-04-02,Idaho,57
2020-04-02,Illinois,1143
2020-04-02,Indiana,167
2020-04-02,Iowa,72
2020-04-02,Kansas,42
2020-04-02,Kentucky,190
2020-04-02,Louisiana,192
2020-04-02,Maine,43
2020-04-02,Maryland,271
2020-04-02,Massachusetts,312
2020-04-02,Michigan,432
2020-04-02,Minnesota,294
2020-04-02,Mississippi,35
2020-04-02,Missouri,348
2020-04-02,Montana,53
2020-04-02,Nebraska,71
2020-04-02,Nevada,479
2020-04-02,New Hampshire,26
2020-04-02,New Jersey,241
2020-04-02,New Mexico,77
2020-04-02,New York,750
2020-04-02,North Carolina,927
2020-04-02,North Dakota,48
2020-04-02,Ohio,274
2020-04-02,Oklahoma,104
2020-04-02,Oregon,196
2020-04-02,Pennsylvania,588
2020-04-02,Puerto Rico,67
2020-04-02,Rhode Island,43
2020-04-02,South Carolina,167
2020-04-02,South Dakota,36
2020-04-02,Tennessee,343
2020-04-02,Texas,1941
2020-04-02,U.S. Pacific Trust Territories and Possessions,4
2020-04-02,U.S. Virgin Islands,10
2020-04-02,Utah,254
2020-04-02,Vermont,20
2020-04-02,Virginia,672
2020-04-02,Washington,384
2020-04-02,West Virginia,20
2020-04-02,Wisconsin,158
2020-04-02,Wyoming,15
2020-04-03,Alabama,100
2020-04-03,Alaska,55
2020-04-03,Arizona,589
2020-04-03,Arkansas,77
2020-04-03,California,1791
2020-04-03,Colorado,634
2020-04-03,Connecticut,69
2020-04-03,Florida,1546
2020-04-03,Georgia,711
2020-04-03,Hawaii,174
2020-04-03,Idaho,57
2020-04-03,Illinois,1136
2020-04-03,Indiana,165
2020-04-03,Iowa,71
2020-04-03,Kansas,41
2020-04-03,Kentucky,185
2020-04-03,Louisiana,195
2020-04-03,Maine,43
2020-04-03,Maryland,270
2020-04-03,Massachusetts,313
2020-04-03,Michigan,440
2020-04-03,Minnesota,299
2020-04-03,Mississippi,35
2020-04-03,Missouri,347
2020-04-03,Montana,51
2020-04-03,Nebraska,72
2020-04-03,Nevada,482
2020-04-03,New Hampshire,28
2020-04-03,New Jersey,237
2020-04-03,New Mexico,78
2020-04-03,New York,746
2020-04-03,North Carolina,928
2020-04-03,North Dakota,43
2020-04-03,Ohio,272
2020-04-03,Oklahoma,105
2020-04-03,Oregon,196
2020-04-03,Pennsylvania,587
2020-04-03,Puerto Rico,62
2020-04-03,Rhode Island,41
2020-04-03,South Carolina,165
2020-04-03,South Dakota,34
2020-04-03,Tennessee,341
2020-04-03,Texas,1942
2020-04-03,U.S. Pacific Trust Territories and Possessions,1
2020-04-03,U.S. Virgin Islands,7
2020-04-03,Utah,252
2020-04-03,Vermont,20
2020-04-03,Virginia,668
2020-04-03,Washington,384
2020-04-03,West Virginia,20
2020-04-03,Wisconsin,153
2020-04-03,Wyoming,15
2020-04-04,Alabama,79
2020-04-04,Alaska,41
2020-04-04,Arizona,563
2020-04-04,Arkansas,52
2020-04-04,California,1403
2020-04-04,Colorado,554
2020-04-04,Connecticut,63
2020-04-04,Florida,1508
2020-04-04,Georgia,569
2020-04-04,Hawaii,202
2020-04-04,Idaho,48
2020-04-04,Illinois,946
2020-04-04,Indiana,160
2020-04-04,Iowa,60
2020-04-04,Kansas,31
2020-04-04,Kentucky,148
2020-04-04,Louisiana,153
2020-04-04,Maine,41
2020-04-04,Maryland,210
2020-04-04,Massachusetts,189
2020-04-04,Michigan,379
2020-04-04,Minnesota,259
2020-04-04,Mississippi,26
2020-04-04,Missouri,278
2020-04-04,Montana,47
2020-04-04,Nebraska,59
2020-04-04,Nevada,368
2020-04-04,New Hampshire,28
2020-04-04,New Jersey,204
2020-04-04,New Mexico,64
2020-04-04,New York,526
2020-04-04,North Carolina,808
2020-04-04,North Dakota,39
2020-04-04,Ohio,225
2020-04-04,Oklahoma,78
2020-04-04,Oregon,158
2020-04-04,Pennsylvania,485
2020-04-04,Puerto Rico,40
2020-04-04,Rhode Island,34
2020-04-04,South Carolina,145
2020-04-04,South Dakota,30
2020-04-04,Tennessee,272
2020-04-04,Texas,1603
2020-04-04,U.S. Pacific Trust Territories and Possessions,1
2020-04-04,U.S. Virgin Islands,8
2020-04-04,Utah,217
2020-04-04,Vermont,16
2020-04-04,Virginia,525
2020-04-04,Washington,321
2020-04-04,West Virginia,18
2020-04-04,Wisconsin,140
2020-04-04,Wyoming,14
2020-04-05,Alabama,97
2020-04-05,Alaska,39
2020-04-05,Arizona,597
2020-04-05,Arkansas,74
2020-04-05,California,1620
2020-04-05,Colorado,622
2020-04-05,Connecticut,65
2020-04-05,Florida,1482
2020-04-05,Georgia,674
2020-04-05,Hawaii,193
2020-04-05,Idaho,56
2020-04-05,Illinois,1016
2020-04-05,Indiana,169
2020-04-05,Iowa,67
2020-04-05,Kansas,39
2020-04-05,Kentucky,174
2020-04-05,Louisiana,192
2020-04-05,Maine,43
2020-04-05,Maryland,240
2020-04-05,Massachusetts,225
2020-04-05,Michigan,411
2020-04-05,Minnesota,278
2020-04-05,Mississippi,33
2020-04-05,Missouri,335
2020-04-05,Montana,52
2020-04-05,Nebraska,70
2020-04-05,Nevada,447
2020-04-05,New Hampshire,23
2020-04-05,New Jersey,211
2020-04-05,New Mexico,73
