FL_DATE,ORIGIN_STATE,DEST_STATE,FLIGHT_COUNT
2019-04-01,Alabama,Colorado,5
2019-04-01,Alabama,Florida,6
2019-04-01,Alabama,Georgia,36
2019-04-01,Alabama,Illinois,11
2019-04-01,Alabama,Maryland,1
2019-04-01,Alabama,Michigan,4
2019-04-01,Alabama,Nevada,1
2019-04-01,Alabama,New York,3
2019-04-01,Alabama,North Carolina,18
2019-04-01,Alabama,Pennsylvania,2
2019-04-01,Alabama,Texas,34
2019-04-01,Alabama,Virginia,10
2019-04-01,Alaska,Alaska,70
2019-04-01,Alaska,California,1
2019-04-01,Alaska,Colorado,1
2019-04-01,Alaska,Hawaii,2
2019-04-01,Alaska,Illinois,1
2019-04-01,Alaska,Minnesota,1
2019-04-01,Alaska,Oregon,2
2019-04-01,Alaska,Washington,28
2019-04-01,Arizona,Alaska,1
2019-04-01,Arizona,Arizona,30
2019-04-01,Arizona,Arkansas,1
2019-04-01,Arizona,California,171
2019-04-01,Arizona,Colorado,43
2019-04-01,Arizona,Florida,14
2019-04-01,Arizona,Georgia,13
2019-04-01,Arizona,Hawaii,5
2019-04-01,Arizona,Idaho,4
2019-04-01,Arizona,Illinois,31
2019-04-01,Arizona,Indiana,6
2019-04-01,Arizona,Iowa,5
2019-04-01,Arizona,Kansas,2
2019-04-01,Arizona,Kentucky,5
2019-04-01,Arizona,Louisiana,2
2019-04-01,Arizona,Maryland,5
2019-04-01,Arizona,Massachusetts,4
2019-04-01,Arizona,Michigan,10
2019-04-01,Arizona,Minnesota,17
2019-04-01,Arizona,Missouri,14
2019-04-01,Arizona,Montana,1
2019-04-01,Arizona,Nebraska,7
2019-04-01,Arizona,Nevada,25
2019-04-01,Arizona,New Jersey,7
2019-04-01,Arizona,New Mexico,11
2019-04-01,Arizona,New York,9
2019-04-01,Arizona,North Carolina,9
2019-04-01,Arizona,North Dakota,2
2019-04-01,Arizona,Ohio,6
2019-04-01,Arizona,Oklahoma,6
2019-04-01,Arizona,Oregon,12
2019-04-01,Arizona,Pennsylvania,11
2019-04-01,Arizona,South Dakota,3
2019-04-01,Arizona,Tennessee,5
2019-04-01,Arizona,Texas,68
2019-04-01,Arizona,Utah,26
2019-04-01,Arizona,Virginia,4
2019-04-01,Arizona,Washington,25
2019-04-01,Arizona,Wisconsin,9
2019-04-01,Arkansas,Arizona,1
2019-04-01,Arkansas,California,2
2019-04-01,Arkansas,Colorado,6
2019-04-01,Arkansas,Florida,2
2019-04-01,Arkansas,Georgia,14
2019-04-01,Arkansas,Illinois,14
2019-04-01,Arkansas,Michigan,1
2019-04-01,Arkansas,Minnesota,2
2019-04-01,Arkansas,Missouri,2
2019-04-01,Arkansas,Nevada,1
2019-04-01,Arkansas,New Jersey,1
2019-04-01,Arkansas,New York,3
2019-04-01,Arkansas,North Carolina,8
2019-04-01,Arkansas,Texas,38
2019-04-01,Arkansas,Virginia,2
2019-04-01,California,Alaska,1
2019-04-01,California,Arizona,170
2019-04-01,California,Arkansas,2
2019-04-01,California,California,794
2019-04-01,California,Colorado,110
2019-04-01,California,Florida,45
2019-04-01,California,Georgia,43
2019-04-01,California,Hawaii,75
2019-04-01,California,Idaho,16
2019-04-01,California,Illinois,82
2019-04-01,California,Indiana,6
2019-04-01,California,Kentucky,5
2019-04-01,California,Louisiana,14
2019-04-01,California,Maryland,17
2019-04-01,California,Massachusetts,37
2019-04-01,California,Michigan,16
2019-04-01,California,Minnesota,28
2019-04-01,California,Missouri,27
2019-04-01,California,Montana,2
2019-04-01,California,Nebraska,6
2019-04-01,California,Nevada,167
2019-04-01,California,New Jersey,44
2019-04-01,California,New Mexico,13
2019-04-01,California,New York,79
2019-04-01,California,North Carolina,19
2019-04-01,California,Ohio,9
2019-04-01,California,Oklahoma,4
2019-04-01,California,Oregon,115
2019-04-01,California,Pennsylvania,20
2019-04-01,California,Tennessee,16
2019-04-01,California,Texas,207
2019-04-01,California,Utah,85
2019-04-01,California,Virginia,30
2019-04-01,California,Washington,174
2019-04-01,California,Wisconsin,3
2019-04-01,Colorado,Alabama,5
2019-04-01,Colorado,Alaska,1
2019-04-01,Colorado,Arizona,43
2019-04-01,Colorado,Arkansas,6
2019-04-01,Colorado,California,112
2019-04-01,Colorado,Colorado,70
2019-04-01,Colorado,Connecticut,2
2019-04-01,Colorado,Florida,34
2019-04-01,Colorado,Georgia,20
2019-04-01,Colorado,Hawaii,4
2019-04-01,Colorado,Idaho,9
2019-04-01,Colorado,Illinois,36
2019-04-01,Colorado,Indiana,7
2019-04-01,Colorado,Iowa,8
2019-04-01,Colorado,Kansas,8
2019-04-01,Colorado,Kentucky,9
2019-04-01,Colorado,Louisiana,9
2019-04-01,Colorado,Maryland,9
2019-04-01,Colorado,Massachusetts,9
2019-04-01,Colorado,Michigan,12
2019-04-01,Colorado,Minnesota,16
2019-04-01,Colorado,Mississippi,1
2019-04-01,Colorado,Missouri,27
2019-04-01,Colorado,Montana,18
2019-04-01,Colorado,Nebraska,17
2019-04-01,Colorado,Nevada,28
2019-04-01,Colorado,New Jersey,10
2019-04-01,Colorado,New Mexico,10
2019-04-01,Colorado,New York,19
2019-04-01,Colorado,North Carolina,13
2019-04-01,Colorado,North Dakota,18
2019-04-01,Colorado,Ohio,11
2019-04-01,Colorado,Oklahoma,16
2019-04-01,Colorado,Oregon,17
2019-04-01,Colorado,Pennsylvania,10
2019-04-01,Colorado,South Carolina,1
2019-04-01,Colorado,South Dakota,9
2019-04-01,Colorado,Tennessee,17
2019-04-01,Colorado,Texas,97
2019-04-01,Colorado,Utah,37
2019-04-01,Colorado,Virginia,16
2019-04-01,Colorado,Washington,24
2019-04-01,Colorado,Wisconsin,11
2019-04-01,Colorado,Wyoming,15
2019-04-01,Connecticut,Colorado,2
2019-04-01,Connecticut,Florida,22
2019-04-01,Connecticut,Georgia,7
2019-04-01,Connecticut,Illinois,10
2019-04-01,Connecticut,Kentucky,1
2019-04-01,Connecticut,Maryland,7
2019-04-01,Connecticut,Michigan,4
2019-04-01,Connecticut,Minnesota,4
2019-04-01,Connecticut,Missouri,1
2019-04-01,Connecticut,North Carolina,8
2019-04-01,Connecticut,Ohio,1
2019-04-01,Connecticut,Pennsylvania,8
2019-04-01,Connecticut,Puerto Rico,2
2019-04-01,Connecticut,South Carolina,1
2019-04-01,Connecticut,Texas,3
2019-04-01,Connecticut,Virginia,12
2019-04-01,Florida,Alabama,6
2019-04-01,Florida,Arizona,13
2019-04-01,Florida,Arkansas,2
2019-04-01,Florida,California,46
2019-04-01,Florida,Colorado,38
2019-04-01,Florida,Connecticut,22
2019-04-01,Florida,Florida,109
2019-04-01,Florida,Georgia,201
2019-04-01,Florida,Illinois,104
2019-04-01,Florida,Indiana,27
2019-04-01,Florida,Iowa,3
2019-04-01,Florida,Kentucky,26
2019-04-01,Florida,Louisiana,19
2019-04-01,Florida,Maine,4
2019-04-01,Florida,Maryland,56
2019-04-01,Florida,Massachusetts,65
2019-04-01,Florida,Michigan,62
2019-04-01,Florida,Minnesota,27
2019-04-01,Florida,Missouri,33
2019-04-01,Florida,Nevada,15
2019-04-01,Florida,New Hampshire,5
2019-04-01,Florida,New Jersey,99
2019-04-01,Florida,New York,188
2019-04-01,Florida,North Carolina,127
2019-04-01,Florida,Ohio,45
2019-04-01,Florida,Oklahoma,2
2019-04-01,Florida,Oregon,1
2019-04-01,Florida,Pennsylvania,83
2019-04-01,Florida,Puerto Rico,38
2019-04-01,Florida,Rhode Island,16
2019-04-01,Florida,South Carolina,10
2019-04-01,Florida,Tennessee,45
2019-04-01,Florida,Texas,162
2019-04-01,Florida,U.S. Virgin Islands,5
2019-04-01,Florida,Utah,8
2019-04-01,Florida,Virginia,80
2019-04-01,Florida,Washington,7
2019-04-01,Florida,West Virginia,2
2019-04-01,Florida,Wisconsin,16
2019-04-01,Georgia,Alabama,36
2019-04-01,Georgia,Arizona,13
2019-04-01,Georgia,Arkansas,14
2019-04-01,Georgia,California,43
2019-04-01,Georgia,Colorado,20
2019-04-01,Georgia,Connecticut,7
2019-04-01,Georgia,Florida,201
2019-04-01,Georgia,Georgia,64
2019-04-01,Georgia,Hawaii,1
2019-04-01,Georgia,Illinois,50
2019-04-01,Georgia,Indiana,25
2019-04-01,Georgia,Iowa,5
2019-04-01,Georgia,Kansas,3
2019-04-01,Georgia,Kentucky,25
2019-04-01,Georgia,Louisiana,40
2019-04-01,Georgia,Maine,1
2019-04-01,Georgia,Maryland,20
2019-04-01,Georgia,Massachusetts,22
2019-04-01,Georgia,Michigan,25
2019-04-01,Georgia,Minnesota,15
2019-04-01,Georgia,Mississippi,14
2019-04-01,Georgia,Missouri,28
2019-04-01,Georgia,Nebraska,6
2019-04-01,Georgia,Nevada,15
2019-04-01,Georgia,New Hampshire,1
2019-04-01,Georgia,New Jersey,24
2019-04-01,Georgia,New Mexico,2
2019-04-01,Georgia,New York,67
2019-04-01,Georgia,North Carolina,81
2019-04-01,Georgia,Ohio,30
2019-04-01,Georgia,Oklahoma,11
2019-04-01,Georgia,Oregon,3
2019-04-01,Georgia,Pennsylvania,38
2019-04-01,Georgia,Puerto Rico,5
2019-04-01,Georgia,Rhode Island,3
2019-04-01,Georgia,South Carolina,34
2019-04-01,Georgia,South Dakota,1
2019-04-01,Georgia,Tennessee,52
2019-04-01,Georgia,Texas,83
2019-04-01,Georgia,U.S. Virgin Islands,2
2019-04-01,Georgia,Utah,9
2019-04-01,Georgia,Vermont,1
2019-04-01,Georgia,Virginia,74
2019-04-01,Georgia,Washington,9
2019-04-01,Georgia,West Virginia,5
2019-04-01,Georgia,Wisconsin,15
2019-04-01,Hawaii,Alaska,2
2019-04-01,Hawaii,Arizona,5
2019-04-01,Hawaii,California,76
2019-04-01,Hawaii,Colorado,4
2019-04-01,Hawaii,Georgia,1
2019-04-01,Hawaii,Hawaii,197
2019-04-01,Hawaii,Illinois,3
2019-04-01,Hawaii,Minnesota,1
2019-04-01,Hawaii,Nevada,3
2019-04-01,Hawaii,New Jersey,1
2019-04-01,Hawaii,New York,1
2019-04-01,Hawaii,Oregon,7
2019-04-01,Hawaii,Texas,5
2019-04-01,Hawaii,U.S. Pacific Trust Territories and Possessions,2
2019-04-01,Hawaii,Utah,1
2019-04-01,Hawaii,Washington,17
2019-04-01,Idaho,Arizona,4
2019-04-01,Idaho,California,16
2019-04-01,Idaho,Colorado,9
2019-04-01,Idaho,Illinois,2
2019-04-01,Idaho,Minnesota,2
2019-04-01,Idaho,Nevada,4
2019-04-01,Idaho,Oregon,8
2019-04-01,Idaho,Texas,3
2019-04-01,Idaho,Utah,22
2019-04-01,Idaho,Washington,19
2019-04-01,Illinois,Alabama,11
2019-04-01,Illinois,Alaska,1
2019-04-01,Illinois,Arizona,31
2019-04-01,Illinois,Arkansas,14
2019-04-01,Illinois,California,83
2019-04-01,Illinois,Colorado,37
2019-04-01,Illinois,Connecticut,10
2019-04-01,Illinois,Florida,104
2019-04-01,Illinois,Georgia,50
